Severity,Start_Time,Start_Lat,Start_Lng,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,Stop,Traffic_Signal,Sunrise_Sunset,hour
3,2016-11-10 21:58:00,37.780827,-121.977234,55.9,77.0,30.04,10.0,West,4.6,Clear,0,0,0,0,0,0,0,0,21
3,2016-12-08 16:40:00,37.681126,-122.471771,66.0,63.0,29.99,10.0,WNW,20.7,Partly Cloudy,0,0,0,0,0,0,0,1,16
2,2016-03-08 08:36:00,36.644672,-121.611954,55.9,87.0,30.04,4.0,ESE,4.6,Overcast,0,0,0,0,0,0,0,1,8
2,2017-11-01 16:48:00,34.020247999999995,-117.814972,57.2,67.0,30.0,10.0,SW,9.2,Scattered Clouds,0,0,0,0,0,0,0,1,16
3,2016-08-09 17:46:00,34.013351,-117.344032,81.0,42.0,29.92,10.0,West,11.5,Clear,0,0,0,0,0,0,0,1,17
3,2016-12-07 16:28:00,38.630661,-121.217606,89.6,22.0,29.89,10.0,WNW,5.8,Clear,0,0,0,0,0,0,0,1,16
3,2016-06-04 16:33:00,32.723854,-117.157623,66.0,73.0,30.1,10.0,South,11.5,Overcast,0,0,0,0,0,0,0,1,16
2,2016-11-05 20:41:00,33.128971,-117.098145,57.9,84.0,29.98,9.0,WNW,6.9,Clear,0,0,0,0,1,0,0,0,20
2,2016-04-08 10:29:00,38.678524,-121.230347,68.0,52.0,29.92,9.0,SSW,10.4,Clear,0,0,0,0,0,0,1,1,10
2,2016-07-09 19:45:00,41.901726,-87.964867,82.0,65.0,29.89,10.0,SW,9.2,Light Rain,0,0,0,0,0,0,0,0,19
2,2016-01-09 07:53:00,26.561516,-81.751915,79.0,90.0,29.89,10.0,SE,10.4,Scattered Clouds,0,0,1,0,0,0,0,1,7
2,2017-10-01 17:54:00,34.460346,-82.053841,48.2,58.0,30.37,10.0,SSW,3.5,Clear,0,0,0,0,0,0,0,0,17
2,2017-03-01 11:52:00,41.285023,-95.999794,16.0,62.0,30.3,10.0,NNW,23.0,Mostly Cloudy,0,0,0,0,0,0,1,1,11
3,2016-02-06 15:28:00,33.882290000000005,-117.54908,93.0,36.0,29.9,10.0,WNW,10.4,Clear,0,0,0,0,0,0,0,1,15
3,2016-08-07 17:41:00,37.742325,-121.530136,87.1,26.0,29.91,10.0,WNW,17.3,Clear,0,0,0,0,0,0,0,1,17
3,2016-11-12 21:55:00,34.031665999999994,-118.433769,59.0,96.0,30.08,7.0,SW,4.6,Overcast,0,0,0,0,0,0,0,0,21
2,2016-07-12 16:44:00,40.90395,-73.867485,46.9,68.0,30.02,10.0,NNW,9.2,Overcast,0,0,0,0,0,0,1,0,16
2,2016-10-09 05:55:00,41.82048,-88.203812,64.9,90.0,29.82,3.0,SSW,8.1,Overcast,0,0,1,0,0,0,1,0,5
3,2016-09-09 09:06:00,41.24876,-96.084991,73.6,88.0,29.86,10.0,South,6.9,Overcast,0,0,0,0,0,0,0,1,9
2,2016-05-08 16:45:00,41.8465,-87.963287,82.0,51.0,29.86,10.0,WNW,11.5,Mostly Cloudy,0,0,0,0,0,0,1,1,16
2,2016-11-07 18:17:00,42.00539000000001,-88.144722,87.1,55.0,29.88,10.0,South,18.4,Partly Cloudy,0,0,0,0,0,0,1,1,18
2,2016-03-10 11:29:00,38.388763,-122.889244,57.0,83.0,30.06,3.0,SSE,3.5,Overcast,0,0,0,0,0,0,0,1,11
3,2017-06-01 14:08:00,33.912239,-84.207817,33.1,78.0,30.01,3.0,NW,9.2,Light Rain,0,0,0,0,0,0,0,1,14
3,2016-07-10 13:23:00,37.770737,-122.405975,71.1,53.0,29.99,10.0,NNE,4.6,Mostly Cloudy,0,0,0,0,0,0,0,1,13
2,2016-01-04 11:54:00,37.792629,-121.189903,66.9,45.0,30.17,10.0,Variable,3.5,Clear,0,0,0,0,1,0,0,1,11
3,2017-08-01 07:16:00,41.848515,-87.643753,3.9,60.0,30.77,10.0,NW,5.8,Partly Cloudy,0,0,1,0,0,0,0,0,7
2,2016-02-11 05:11:00,27.766432,-82.687515,71.1,87.0,30.13,10.0,NE,10.4,Clear,0,0,0,0,0,0,0,0,5
2,2016-05-07 07:42:00,26.194544,-80.208595,81.0,85.0,30.14,10.0,SE,5.8,Scattered Clouds,0,0,0,0,0,0,0,1,7
2,2016-09-04 10:53:00,38.561413,-121.365425,59.0,94.0,29.93,8.0,SSW,9.2,Overcast,0,0,0,0,0,0,0,1,10
2,2016-08-04 14:23:00,34.153442,-118.6521,60.1,86.0,29.92,3.0,South,4.6,Light Rain,0,0,0,0,0,0,0,1,14
2,2016-10-12 10:30:00,38.516869,-121.463257,57.9,100.0,30.08,2.5,South,11.5,Overcast,0,0,0,0,1,0,0,1,10
2,2016-10-05 16:24:00,38.525341,-121.519577,88.0,18.0,29.87,10.0,NNW,4.6,Clear,0,0,0,0,0,0,0,1,16
3,2016-02-08 12:24:00,34.065662,-117.805794,84.2,42.0,30.02,10.0,West,11.5,Clear,0,0,0,0,0,0,0,1,12
2,2016-06-09 06:36:00,42.036819,-88.287552,73.0,90.0,30.04,6.0,South,6.9,Clear,0,0,0,0,0,0,0,1,6
3,2016-02-08 13:50:00,34.077663,-117.998184,89.6,29.0,29.97,10.0,South,3.5,Clear,0,0,0,0,0,0,0,1,13
3,2016-01-09 15:07:00,33.782738,-118.207748,75.0,69.0,29.87,10.0,Variable,5.8,Clear,0,0,0,0,1,0,0,1,15
3,2016-05-12 11:28:00,26.431906,-81.777527,84.0,61.0,29.99,10.0,South,12.7,Scattered Clouds,0,0,0,0,0,0,0,1,11
3,2016-06-07 13:52:00,32.875286,-117.229019,75.0,53.0,29.98,10.0,SW,10.4,Partly Cloudy,0,0,0,0,0,0,0,1,13
2,2016-07-12 11:50:00,37.735325,-122.406761,50.0,48.0,30.17,10.0,ESE,6.9,Overcast,0,0,0,0,0,0,0,1,11
2,2016-09-08 09:59:00,33.487957,-82.107887,82.0,76.0,30.06,10.0,ESE,10.4,Mostly Cloudy,0,0,0,0,0,0,0,1,9
3,2016-07-11 08:32:00,33.44656,-82.016541,59.0,46.0,30.4,10.0,ENE,9.2,Clear,0,0,0,0,0,0,0,1,8
3,2016-02-08 07:59:00,38.567387,-90.394112,73.9,87.0,30.06,7.0,West,13.8,Light Rain,0,0,0,0,0,0,0,1,7
2,2017-04-01 15:25:00,38.775238,-121.261177,50.0,94.0,29.95,10.0,South,3.5,Overcast,0,0,0,0,0,0,0,1,15
2,2016-05-10 11:46:00,42.985394,-85.693031,73.0,64.0,30.01,10.0,South,19.6,Mostly Cloudy,0,0,0,0,0,0,1,1,11
2,2016-12-07 16:55:00,33.986855,-117.869904,80.1,50.0,29.86,10.0,SSW,9.2,Clear,0,0,1,0,0,0,1,1,16
3,2016-05-12 15:26:00,34.059494,-118.001411,66.2,40.0,29.93,10.0,SW,4.6,Clear,0,0,0,0,0,0,0,1,15
2,2016-08-07 17:24:00,41.234035,-96.1007,85.8,42.0,29.97,10.0,NNE,3.5,Clear,0,0,0,0,0,0,1,1,17
2,2016-02-08 19:05:00,33.92733,-118.291763,72.0,76.0,29.93,10.0,WSW,12.7,Clear,0,0,0,0,0,0,0,1,19
3,2016-02-04 14:22:00,33.026379,-117.274681,66.9,61.0,30.11,10.0,NW,8.1,Clear,0,0,0,0,0,0,0,1,14
3,2016-04-09 19:54:00,34.037064,-118.378975,66.9,66.0,29.8,10.0,SW,5.8,Clear,0,0,0,0,0,0,0,0,19
3,2016-05-07 11:03:00,37.632156,-122.437218,66.0,54.0,30.02,10.0,West,8.1,Partly Cloudy,0,0,0,0,0,0,0,1,11
2,2016-02-09 03:19:00,34.148575,-118.697922,64.0,93.0,29.91,9.0,SE,4.6,Mostly Cloudy,0,0,0,0,0,0,0,0,3
3,2016-06-04 13:32:00,37.543564,-122.020409,82.4,37.0,30.05,10.0,NW,5.8,Scattered Clouds,0,0,0,0,1,0,0,1,13
3,2016-05-10 12:31:00,33.698814,-117.942352,72.0,55.0,29.92,10.0,SSW,10.4,Scattered Clouds,0,0,0,0,0,0,0,1,12
2,2016-10-10 15:54:00,42.890202,-85.633804,64.0,50.0,30.34,10.0,South,8.1,Scattered Clouds,0,0,0,0,0,0,0,1,15
2,2016-05-08 08:54:00,27.432011,-82.546677,80.1,81.0,30.01,10.0,SSE,12.7,Mostly Cloudy,0,0,0,0,0,0,0,1,8
2,2017-06-01 18:54:00,25.651384,-80.330627,75.9,82.0,29.98,10.0,SE,3.5,Clear,0,0,1,0,0,0,1,0,18
2,2016-01-04 16:43:00,34.031665999999994,-117.758392,73.4,38.0,30.08,10.0,West,11.5,Clear,0,0,0,0,0,0,0,1,16
2,2016-09-12 11:25:00,38.467354,-121.427193,57.0,96.0,30.25,6.0,SSE,5.8,Overcast,0,0,0,0,0,0,0,1,11
3,2016-09-05 19:26:00,38.639435,-121.383438,73.4,41.0,29.89,10.0,South,6.9,Clear,0,0,0,0,1,0,0,1,19
3,2016-09-07 03:54:00,38.042713,-122.241486,63.0,78.0,29.99,10.0,SSW,10.4,Clear,0,0,0,0,1,0,0,0,3
2,2016-09-06 18:48:00,41.227718,-96.043114,93.4,40.0,29.74,10.0,South,8.1,Clear,0,0,1,0,0,0,1,1,18
2,2017-06-01 20:11:00,28.695662,-81.780472,71.1,68.0,29.96,10.0,South,4.6,Light Rain,0,0,0,0,0,0,0,0,20
2,2016-06-12 18:36:00,41.856628,-88.02684,30.0,72.0,29.92,10.0,West,13.8,Partly Cloudy,0,0,0,0,0,0,0,0,18
2,2016-01-12 11:57:00,28.569288,-81.228508,82.0,65.0,29.99,10.0,SW,11.5,Mostly Cloudy,0,0,1,0,0,0,0,1,11
3,2016-01-09 20:38:00,32.909763,-117.227898,66.0,75.0,29.9,10.0,SW,4.6,Partly Cloudy,0,0,0,0,0,0,0,0,20
2,2016-08-09 15:54:00,43.017742,-83.675117,82.0,69.0,29.8,10.0,West,10.4,Partly Cloudy,0,0,0,0,0,0,1,1,15
2,2016-10-10 11:39:00,33.119923,-117.196259,73.0,61.0,29.97,10.0,West,6.9,Clear,0,0,0,0,0,0,0,1,11
2,2016-06-09 11:18:00,33.561695,-81.778473,80.6,54.0,30.27,10.0,WNW,6.9,Clear,0,0,1,0,0,0,1,1,11
2,2016-01-06 16:25:00,33.81049,-117.797806,66.2,73.0,29.9,10.0,SSW,10.4,Mostly Cloudy,0,0,0,0,0,0,0,1,16
2,2016-10-10 13:22:00,37.010132,-121.885162,61.0,75.0,30.01,10.0,Variable,4.6,Clear,0,0,0,0,0,0,0,1,13
2,2016-10-11 08:46:00,27.425444,-82.428726,72.0,73.0,30.12,10.0,NNE,11.5,Clear,0,0,0,0,0,0,0,1,8
3,2016-05-10 11:20:00,38.592033,-121.552322,66.9,37.0,30.07,10.0,NNW,11.5,Clear,0,0,0,0,0,0,0,1,11
3,2016-07-12 03:36:00,40.764252,-73.840019,41.0,93.0,29.9,4.0,North,6.9,Light Rain,0,0,0,0,0,0,0,0,3
3,2016-09-06 07:48:00,34.001296999999994,-117.351891,63.0,81.0,29.88,2.0,SW,4.6,Haze,0,0,0,0,0,0,0,1,7
3,2016-07-11 22:38:00,37.687485,-122.133484,63.0,72.0,30.15,10.0,ESE,3.5,Clear,0,0,0,0,0,0,0,0,22
2,2016-06-12 10:50:00,32.747326,-117.019226,60.8,63.0,30.01,10.0,WSW,11.5,Overcast,0,0,0,0,0,0,0,1,10
2,2016-04-10 08:51:00,33.960155,-118.247437,66.0,73.0,29.92,10.0,East,5.8,Mostly Cloudy,0,0,1,0,0,0,1,1,8
3,2016-05-09 21:25:00,33.779064,-117.878731,66.9,76.0,29.8,10.0,WSW,4.6,Clear,0,0,0,0,0,0,0,0,21
2,2016-03-08 06:58:00,27.960751,-82.708946,75.9,76.0,30.01,10.0,SSE,3.5,Clear,0,0,0,0,0,0,1,1,6
2,2016-09-12 10:01:00,27.974739000000003,-81.936165,50.0,76.0,30.34,10.0,NNE,6.9,Mostly Cloudy,0,0,1,0,0,0,0,1,10
2,2016-05-08 22:23:00,34.039433,-118.59977,68.0,81.0,29.86,10.0,ESE,3.5,Mostly Cloudy,0,0,0,0,0,0,0,0,22
3,2016-08-09 18:47:00,34.068946999999994,-117.362022,82.4,37.0,29.97,7.0,WSW,11.5,Clear,0,0,0,0,0,0,0,1,18
2,2016-06-07 18:09:00,42.320225,-83.739456,87.1,44.0,29.78,10.0,WNW,10.4,Clear,0,0,0,0,0,0,0,1,18
3,2016-06-04 05:54:00,34.150414000000005,-117.478737,57.9,60.0,30.04,10.0,NNE,3.5,Scattered Clouds,0,0,0,0,0,0,0,0,5
2,2016-09-08 10:10:00,37.86714600000001,-121.638115,64.9,65.0,29.83,10.0,Variable,3.5,Clear,0,0,0,0,0,0,0,1,10
2,2016-03-11 11:13:00,38.241276,-122.269112,62.1,65.0,30.18,10.0,NNW,4.6,Clear,0,0,0,0,0,0,1,1,11
2,2016-01-11 11:55:00,37.270916,-121.947472,64.0,54.0,30.12,10.0,NW,6.9,Scattered Clouds,0,0,0,0,0,0,0,1,11
2,2016-06-08 07:24:00,42.378487,-83.216888,71.1,70.0,29.92,10.0,North,4.6,Scattered Clouds,0,0,0,0,0,0,0,1,7
2,2016-06-06 12:10:00,37.360653000000006,-121.915985,75.0,51.0,29.82,10.0,Variable,5.8,Partly Cloudy,0,0,0,0,0,0,0,1,12
2,2016-08-04 11:46:00,32.713299,-117.140236,64.9,73.0,29.99,10.0,SSW,4.6,Mostly Cloudy,0,0,0,0,0,0,0,1,11
2,2016-05-07 16:57:00,33.744244,-82.101151,77.0,83.0,30.08,10.0,WNW,6.9,Mostly Cloudy,0,0,0,0,0,0,0,1,16
2,2016-03-06 20:09:00,37.675941,-121.264786,93.0,13.0,29.85,10.0,NW,6.9,Clear,0,0,0,0,0,0,0,1,20
2,2016-03-06 11:00:00,33.742428000000004,-118.29892,75.2,65.0,30.0,7.0,Variable,5.8,Clear,0,0,0,0,0,0,0,1,11
2,2016-04-11 08:19:00,28.29568900000001,-81.657066,64.0,96.0,30.12,10.0,NW,3.5,Clear,0,0,0,0,0,0,0,1,8
3,2016-05-07 09:22:00,34.033844,-117.324806,70.3,63.0,30.03,2.5,West,5.8,Haze,0,0,0,0,0,0,0,1,9
3,2016-04-10 17:54:00,33.824261,-118.206886,69.1,63.0,29.85,10.0,SW,5.8,Clear,0,0,0,0,1,0,0,1,17
3,2016-04-09 12:58:00,33.99345,-118.069351,75.2,47.0,29.85,10.0,South,3.5,Scattered Clouds,0,0,0,0,0,0,0,1,12
3,2016-02-07 15:23:00,37.640194,-122.090424,75.0,43.0,29.98,10.0,NNW,15.0,Clear,0,0,0,0,0,0,0,1,15
2,2016-10-11 08:11:00,25.733158,-80.323387,73.0,76.0,30.1,10.0,North,4.6,Mostly Cloudy,0,0,1,0,0,0,1,1,8
2,2016-11-11 16:03:00,28.546736,-81.557526,75.9,42.0,30.02,10.0,WNW,11.5,Clear,0,0,0,0,0,0,0,1,16
2,2016-04-05 20:25:00,33.88356,-117.640961,62.1,67.0,29.93,10.0,NW,6.9,Clear,0,0,0,0,0,0,0,0,20
2,2016-06-09 10:21:00,32.719154,-117.102951,70.0,63.0,29.86,10.0,WSW,4.6,Scattered Clouds,0,0,0,0,0,0,0,1,10
2,2016-07-09 11:46:00,27.843748,-82.825592,86.0,63.0,30.18,10.0,ENE,8.1,Clear,0,0,1,0,0,0,0,1,11
2,2016-01-09 04:03:00,28.583223,-81.224236,73.0,100.0,29.92,10.0,ESE,5.8,Light Rain,0,0,1,0,0,0,1,0,4
2,2016-09-08 10:40:00,34.120556,-117.736328,73.4,61.0,29.92,7.0,West,6.9,Clear,0,0,0,0,0,0,1,1,10
2,2016-11-08 06:17:00,38.013264,-122.273277,55.9,84.0,29.9,10.0,West,3.5,Clear,0,0,0,0,0,0,1,0,6
3,2016-03-04 10:51:00,32.679649,-117.08606,64.9,73.0,30.08,7.0,WNW,9.2,Clear,0,0,0,0,0,0,0,1,10
3,2016-01-11 12:26:00,27.491219,-82.472359,84.0,49.0,30.12,10.0,East,13.8,Clear,0,0,0,0,0,0,0,1,12
2,2016-08-09 20:55:00,37.314606,-121.931816,64.0,73.0,30.04,10.0,WNW,9.2,Clear,0,0,1,0,0,0,1,0,20
3,2016-07-12 06:37:00,26.368399,-80.118271,73.4,94.0,30.03,5.0,NW,6.9,Overcast,0,0,0,0,1,0,0,0,6
2,2016-12-12 09:29:00,42.38242,-83.510086,35.1,70.0,29.89,10.0,West,18.4,Overcast,0,0,0,0,0,0,0,1,9
2,2017-10-01 09:52:00,40.75993,-73.70372,28.9,47.0,30.64,10.0,South,9.2,Overcast,0,0,0,0,0,0,0,1,9
3,2016-06-10 12:33:00,34.065228000000005,-117.806824,75.2,34.0,29.96,10.0,West,5.8,Clear,0,0,0,0,0,0,0,1,12
3,2016-12-08 22:23:00,38.488636,-121.803772,71.6,53.0,29.92,10.0,SSW,3.5,Clear,0,0,0,0,0,0,0,0,22
3,2016-09-05 09:50:00,33.928444,-118.239044,63.0,65.0,30.0,10.0,Variable,4.6,Overcast,0,0,0,0,0,0,0,1,9
3,2016-06-04 18:02:00,34.120853000000004,-117.879791,75.2,47.0,30.06,10.0,WSW,11.5,Clear,0,0,0,0,0,0,0,1,18
2,2016-07-10 19:49:00,42.975151,-83.623459,66.2,83.0,30.04,10.0,West,10.4,Overcast,0,0,0,0,0,0,0,0,19
2,2016-02-12 07:04:00,28.362078000000004,-81.4291,57.0,67.0,30.12,10.0,North,6.9,Clear,0,0,1,0,0,0,1,1,7
3,2016-11-07 20:15:00,34.147736,-118.47084,75.0,57.0,29.81,10.0,SSE,9.2,Clear,0,0,0,0,0,0,0,0,20
3,2017-08-01 07:11:00,42.281525,-85.380913,12.0,73.0,30.63,4.0,NW,6.9,Light Snow,0,0,0,0,0,0,0,0,7
3,2016-07-09 19:37:00,34.233559,-118.473099,68.0,81.0,30.02,10.0,SSE,9.2,Clear,0,0,0,0,0,0,0,0,19
2,2016-12-04 10:45:00,38.350285,-120.931549,62.6,72.0,30.19,10.0,South,8.1,Mostly Cloudy,0,0,0,0,0,0,0,1,10
3,2017-05-01 21:52:00,38.563396,-121.471695,37.0,70.0,30.1,10.0,NNW,8.1,Clear,0,0,0,0,0,0,0,0,21
2,2016-09-08 20:25:00,32.748321999999995,-117.159561,69.1,73.0,29.88,10.0,WNW,5.8,Scattered Clouds,0,0,1,0,0,0,1,0,20
2,2016-06-09 10:41:00,33.879681,-117.555222,73.0,61.0,29.87,9.0,NNW,4.6,Clear,0,0,0,0,0,0,0,1,10
2,2016-02-05 19:15:00,38.683025,-121.33654,78.8,23.0,29.95,10.0,WSW,6.9,Clear,0,0,0,0,0,0,0,1,19
2,2016-09-11 15:17:00,43.02512700000001,-83.702927,50.0,48.0,30.2,10.0,NNW,8.1,Clear,0,0,0,0,0,0,0,1,15
2,2017-06-01 22:55:00,37.620609,-120.966148,46.0,68.0,30.07,10.0,SE,3.5,Partly Cloudy,0,0,0,0,0,0,0,0,22
3,2016-05-04 17:12:00,33.7785,-117.208046,88.0,13.0,29.96,10.0,Variable,3.5,Mostly Cloudy,0,0,0,0,0,0,0,1,17
3,2016-12-08 10:19:00,34.055157,-118.216347,75.0,64.0,30.03,10.0,Variable,3.5,Clear,0,0,0,0,1,0,0,1,10
3,2016-01-12 12:18:00,33.762119,-84.381516,53.1,41.0,30.04,10.0,WNW,12.7,Clear,0,0,0,0,0,0,0,1,12
3,2016-03-06 01:39:00,32.658539000000005,-117.074493,63.0,90.0,29.98,1.0,WSW,4.6,Overcast,0,0,0,0,0,0,0,0,1
2,2016-10-06 10:05:00,33.981419,-118.45993,64.9,78.0,29.98,7.0,SSE,3.5,Mostly Cloudy,0,0,1,0,0,0,1,1,10
2,2016-01-11 15:41:00,43.063583,-83.518044,75.9,54.0,29.89,10.0,WSW,15.0,Clear,0,0,0,0,0,0,1,1,15
2,2016-08-09 17:45:00,37.35236,-121.968605,73.0,55.0,30.01,10.0,WNW,10.4,Clear,0,0,1,0,0,0,1,1,17
3,2016-05-08 17:25:00,41.259159,-88.246284,82.6,60.0,29.89,10.0,NW,5.8,Clear,0,0,0,0,0,0,0,1,17
2,2016-08-07 16:11:00,34.019981,-118.23954,75.9,62.0,29.94,10.0,Variable,3.5,Clear,0,0,0,0,0,0,1,1,16
2,2016-09-11 07:48:00,28.451237,-81.459297,66.9,81.0,30.08,10.0,North,4.6,Mostly Cloudy,0,0,0,0,0,0,0,1,7
2,2016-10-12 09:02:00,25.898684,-80.324379,69.1,93.0,30.26,2.0,North,5.8,Light Rain,0,0,0,0,0,0,0,1,9
3,2016-10-08 11:16:00,42.96524,-83.830742,89.1,35.0,30.09,10.0,WSW,4.6,Clear,0,0,0,0,1,0,0,1,11
3,2016-01-08 11:06:00,42.220123,-83.440025,82.9,53.0,30.08,10.0,NNW,5.8,Clear,0,0,0,0,0,0,0,1,11
2,2017-12-01 06:09:00,40.700081,-73.323242,48.0,93.0,30.12,10.0,SSW,12.7,Partly Cloudy,1,0,0,0,0,0,0,0,6
2,2016-11-07 11:43:00,38.468472,-123.008751,80.1,39.0,29.91,10.0,South,9.2,Clear,0,0,0,0,0,0,0,1,11
2,2016-04-05 17:09:00,41.306656,-96.05262,68.9,31.0,30.01,10.0,North,10.4,Clear,0,0,0,0,0,0,1,1,17
2,2016-08-09 09:37:00,36.744984,-121.740211,60.1,80.0,30.15,10.0,NW,9.2,Overcast,0,0,1,0,0,1,0,1,9
2,2016-11-04 19:12:00,33.814335,-117.877182,68.0,61.0,30.04,10.0,WNW,8.1,Clear,0,0,0,0,0,0,0,1,19
3,2016-03-05 21:06:00,37.979919,-122.065575,64.9,68.0,29.86,10.0,NNW,5.8,Clear,0,0,0,0,0,0,0,0,21
3,2016-06-06 16:35:00,34.222572,-117.403412,86.0,25.0,29.79,6.0,WSW,10.4,Partly Cloudy,0,0,0,0,0,0,0,1,16
2,2016-05-04 12:36:00,38.555824,-121.375137,73.4,31.0,30.19,10.0,NW,8.1,Partly Cloudy,0,0,0,0,0,0,0,1,12
3,2016-09-08 09:20:00,28.630995,-81.387535,80.1,87.0,30.06,10.0,South,5.8,Overcast,0,0,0,0,1,0,0,1,9
2,2016-09-12 20:57:00,42.032921,-88.273651,16.0,77.0,30.53,10.0,SW,4.6,Clear,0,0,0,0,0,0,0,0,20
3,2016-07-09 08:53:00,28.571236,-81.375641,79.0,79.0,30.19,10.0,NE,4.6,Clear,0,0,0,0,0,0,0,1,8
2,2016-03-11 06:11:00,28.56537100000001,-81.171928,68.0,87.0,30.17,10.0,North,3.5,Clear,0,0,1,0,0,0,0,0,6
3,2016-12-04 19:04:00,38.62479,-121.517189,62.6,63.0,30.16,10.0,SSW,11.5,Clear,0,0,0,0,0,0,0,1,19
2,2017-10-01 14:30:00,42.356846,-71.186813,33.1,72.0,30.54,10.0,ENE,4.6,Overcast,0,0,1,0,0,0,1,1,14
2,2016-08-08 12:46:00,33.750214,-117.983147,75.2,65.0,29.84,9.0,SW,9.2,Mostly Cloudy,0,0,0,0,0,0,0,1,12
3,2016-05-09 16:48:00,34.446846,-83.122055,88.0,45.0,30.2,10.0,East,3.5,Clear,0,0,1,0,0,0,0,1,16
3,2017-06-01 18:36:00,38.630054,-121.519257,39.2,87.0,30.12,10.0,North,3.5,Clear,0,0,0,0,0,0,0,0,18
2,2016-11-07 19:16:00,41.738453,-87.915123,88.0,53.0,29.87,10.0,SSE,12.7,Scattered Clouds,0,0,0,0,0,0,1,1,19
3,2016-01-04 14:56:00,33.960045,-118.281181,66.9,57.0,30.09,10.0,West,11.5,Clear,0,0,0,0,0,0,0,1,14
2,2016-09-06 10:23:00,34.119347,-118.009346,71.6,64.0,29.93,6.0,South,8.1,Haze,0,0,0,0,0,0,0,1,10
3,2016-05-10 06:31:00,42.16906,-88.593658,62.1,90.0,29.91,10.0,SSE,10.4,Clear,0,0,0,0,0,0,0,0,6
3,2017-08-01 18:33:00,37.802197,-122.297592,57.9,93.0,29.88,10.0,SSE,10.4,Overcast,0,0,0,0,0,0,0,0,18
2,2016-06-09 10:41:00,34.009724,-117.427299,72.0,55.0,29.81,9.0,Variable,5.8,Clear,0,0,0,0,0,0,0,1,10
2,2016-04-10 12:04:00,28.446949,-81.399918,86.0,65.0,29.88,10.0,NE,10.4,Scattered Clouds,0,0,1,0,0,0,0,1,12
3,2016-03-06 12:55:00,34.034374,-118.026855,91.4,31.0,29.95,10.0,SSW,6.9,Clear,0,0,0,0,0,0,0,1,12
